Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
AALR3;4,65;-8,8;0,66;0,572;0,00%;0,234;162,01;8,21;-0,63;12,42;6,41;6,96%;-5,70%;1,01;3,13%;-7,54%;240.084,00;1.066.930.000,00;0,46;2,34%;;
ABCB4;23,65;5,97;0,86;0;11,07%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;14,47%;12.155.600,00;6.700.380.000,00;0;16,26%;;
ABEV3;13,65;13,42;2,34;2,378;8,16%;1,529;40,12;10,39;-35,35;9,58;7,23;22,88%;18,22%;1,15;20,18%;17,43%;440.292.000,00;92.027.400.000,00;0,03;5,89%;;
ADHM3;1,56;-4,09;-1,29;770,924;0,00%;105,126;-1,43;-5,69;-1,27;-5,69;-5,81;-13548,50%;-18860,60%;0;521,70%;31,47%;2.064,00;-19.776.000,00;0;43,48%;;
ADMF3;12;-0,17;1,55;1,771;0,00%;0,222;1,4;8,21;1,89;0;0;21,56%;-1060,79%;1,19;27,42%;-928,32%;36.190,00;45.164.000,00;4,74;0,00%;;
AERI3;3,25;-0,16;-0,97;0,24;0,00%;0,103;0,99;-0,23;-0,14;-2,2;-2,45;-103,77%;-147,83%;1,39;-48,38%;598,24%;305.945,00;-208.276.000,00;-8,41;-23,80%;;
AFLT3;7,12;12,88;1,76;5,515;4,81%;1,192;5,7;9;-332,47;8,78;8,81;61,29%;42,80%;2,9;14,83%;13,65%;1.716,53;255.393.000,00;0,11;4,56%;;
AGRO3;19,8;-85,74;0,97;1,988;3,80%;0,531;4,25;28,63;-3,81;44;22,51;6,94%;-2,32%;1,67;2,12%;-1,13%;3.521.800,00;2.103.470.000,00;0,63;-9,99%;;
AGXY3;4,4;0,06;-0,4;0,043;0,00%;0,034;0,15;-0,1;-0,05;-1,41;-1,76;-41,36%;69,73%;2,19;-35,52%;-661,54%;81.569,00;-185.458.000,00;-5,42;-25,15%;;
AHEB3;23;2,38;0,77;0,292;0,00%;0,332;1,32;2,81;-2,33;1,72;1,55;10,38%;12,25%;2,46;14,80%;32,19%;6.252,90;256.339.000,00;0,01;45,53%;;
