Resultado da busca;;;;;;;;;;;;;;
Papel;Segmento;CotaÃ§a;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imovei;PreÃ§o do ;Aluguel por m2;Cap Rate;Vacancia Med;Nota;InformaÃ§a
AAZQ11;Outros;8,48;12,36%;8,86%;0,98;203.836.000;445.876;0;0;0;0,00%;0,00%;;
ABCP11;Shoppings;80,3;8,84%;9,26%;0,73;378.139.000;75.494;1;5.303,23;610,81;11,52%;1,31%;;
AFHF11;Outros;10;3,93%;6,32%;0,98;50.000.000;56.078;0;0;0;0,00%;0,00%;;
AFHI11;Multicategoria;95,81;12,86%;12,40%;1,01;436.474.000;744.500;0;0;0;0,00%;0,00%;;
AGRX11;Outros;8,8;7,82%;9,74%;0,84;157.548.000;271.559;0;0;0;0,00%;0,00%;;
AIEC11;Escritï¿½ï¿;51,59;9,10%;7,70%;0,64;248.921.000;550.554;2;9.817,50;2.159,36;22,00%;0,00%;;
AJFI11;Shoppings;8,05;9,35%;8,77%;0,73;254.589.000;513.736;12;577,83;60,01;10,39%;3,30%;;
ALMI11;Escritï¿½ï¿;595,06;7,44%;7,66%;0,28;66.157.000;17.479;1;1.442,59;227,57;15,77%;46,50%;;
ALZC11;Outros;7,76;10,86%;16,10%;0,83;155.590.000;544.510;0;0;0;0,00%;0,00%;;
ALZR11;Multicategoria;10,76;8,54%;9,19%;1,01;1.315.580.000;2.172.240;19;4.679,56;373,15;7,97%;0,00%;;
ANCR11;Shoppings;328,3;3,25%;0,60%;2,87;8.777.120.000;3.923;8;26.834,20;1.039,27;3,87%;4,21%;;
APTO11;Residencial;8,58;12,91%;12,52%;0,88;39.572.900;41.618;3;16.735,00;1.113,82;6,66%;0,00%;;
APXM11;Shoppings;88;4,26%;4,56%;0,71;248.964.000;279.864;1;1.395,28;157,8;11,31%;0,00%;;
AROA11;Multicategoria;1,05;7,24%;7,65%;1,1;176.323.000;3.976;6;1.339,89;109,21;8,15%;0,00%;;
ARRI11;Multicategoria;6,6;11,79%;16,14%;0,79;136.798.000;218.139;0;0;0;0,00%;0,00%;;
ARXD11;Multicategoria;7,74;15,49%;14,28%;0,85;68.683.200;65.401;0;0;0;0,00%;0,00%;;
ASMT11;Outros;4,1;6,27%;0,00%;0,41;70.113.800;518;3;4.554,15;766,71;16,84%;0,00%;;
ASRF11;Multicategoria;10.974,00;-1,16%;0,00%;1,13;43.896.000;92.857;2;6.105,47;0;0,00%;0,00%;;
ATSA11;Shoppings;57,65;4,41%;0,00%;0,76;100.953.000;154;1;2.969,33;149,42;5,03%;16,77%;;
AZPL11;Logï¿½ï¿½;7,6;6,55%;12,87%;0,9;318.612.000;860.520;2;487,58;41,09;8,43%;0,00%;;
BBFI11;Escritï¿½ï¿;629;-6,99%;99,06%;10,15;81.770.000;106.853;1;0;-0,11;0,00%;100,00%;;
BBFO11;Multicategoria;64,27;19,46%;13,31%;0,87;257.331.000;215.025;0;0;0;0,00%;0,00%;;
BBGO11;Outros;69,49;21,48%;12,25%;0,75;278.319.000;422.109;0;0;0;0,00%;0,00%;;
BBIG11;Shoppings;7,2;18,52%;13,35%;0,74;713.671.000;1.197.590;3;9.958,70;524,19;5,26%;2,50%;;
BBRC11;Outros;99,45;12,06%;13,57%;0,95;158.126.000;125.072;21;9.161,62;1.337,69;14,60%;12,53%;;
