code,name,sector,price,market_cap,pe_ratio,pb_ratio,psr,dividend_yield,p_vpa,ffo_yield,vacancy_rate,payout_ratio,current_ratio,debt_to_equity,property_count
PLD,"Prologis Inc.","Industrial / Logística",135.88,132087783424,24.50,2.36,13.68,3.15,1.15,4.08,2.80,78.5,1.40,0.52,5500
STAG,"STAG Industrial","Industrial / Logística",38.45,7120000000,16.20,1.35,8.10,4.12,1.02,6.17,2.30,76.2,1.35,0.72,568
FR,"First Industrial Realty","Industrial / Logística",52.80,6980000000,18.40,1.85,9.50,3.10,1.08,5.43,3.10,72.4,1.45,0.65,430
REXR,"Rexford Industrial Realty","Industrial / Logística",44.20,9500000000,19.80,1.55,10.20,3.85,0.98,5.05,2.40,81.0,1.30,0.58,422
EQIX,"Equinix Inc.","Data Center / Nuvem & IA",1059.26,104518975488,28.60,7.27,10.55,1.95,1.45,3.50,1.80,55.0,1.60,0.88,260
DLR,"Digital Realty Trust","Data Center / Nuvem & IA",185.65,70113263616,23.40,2.57,10.38,2.62,1.22,4.27,2.10,74.0,1.40,0.82,310
AMT,"American Tower Corp.","Torres de Telecom & 5G",175.25,81659502592,17.90,21.95,7.46,4.10,1.12,5.59,1.50,75.0,1.25,1.45,224000
CCI,"Crown Castle Inc.","Torres de Telecom & 5G",72.37,31625691136,11.80,3.20,7.60,5.80,0.95,8.47,1.80,82.0,1.20,1.35,40000
SBAC,"SBA Communications","Torres de Telecom & 5G",175.84,18654533632,15.20,4.10,6.50,2.83,1.05,6.58,1.40,68.0,1.30,1.65,39500
IRM,"Iron Mountain Inc.","Armazenamento & Dados",118.13,35167633408,18.50,6.50,4.65,2.96,1.35,5.41,2.00,64.0,1.15,1.75,1450
O,"Realty Income Corp.","Varejo / Triple Net Lease",56.53,53489704960,13.60,1.35,8.82,5.75,0.98,7.35,1.40,76.5,1.35,0.68,15450
NNN,"NNN REIT Inc.","Varejo / Triple Net Lease",44.80,8250000000,12.80,1.45,8.50,5.25,0.95,7.81,0.90,73.0,1.40,0.65,3540
ADC,"Agree Realty Corp.","Varejo / Triple Net Lease",74.15,7650000000,17.20,1.75,11.20,4.15,1.06,5.81,0.40,74.5,1.50,0.48,2200
SPG,"Simon Property Group","Shopping Centers Premium",205.95,78183456768,14.20,15.16,11.26,4.34,1.10,7.04,4.20,68.0,1.25,1.25,230
KIM,"Kimco Realty Corp.","Varejo & Supermercados",22.55,15126299648,13.80,1.47,6.92,4.97,0.96,7.25,3.80,75.0,1.30,0.78,525
REG,"Regency Centers","Shopping Centers Conveniência",73.53,13747076096,16.40,2.02,8.16,4.14,1.02,6.10,4.50,72.0,1.35,0.62,480
FRT,"Federal Realty Investment","Shopping Centers / Dividend King",110.46,9656228864,15.80,2.99,7.23,4.19,1.04,6.33,5.20,70.0,1.40,0.85,102
VICI,"Vici Properties Inc.","Cassinos & Entretenimento",23.98,26403837952,10.80,0.91,6.44,7.65,0.92,9.26,0.00,75.0,1.50,0.68,93
GLPI,"Gaming and Leisure Properties","Cassinos & Jogos",49.20,13800000000,12.10,1.75,7.80,6.25,0.98,8.26,0.00,78.0,1.30,0.82,65
HST,"Host Hotels & Resorts","Hotéis de Luxo & Resorts",22.28,15478506496,10.50,2.39,2.48,3.59,0.88,9.52,28.50,45.0,1.65,0.55,77
WELL,"Welltower Inc.","Saúde & Moradia para Idosos",230.39,166012583936,32.50,3.57,13.01,1.46,1.40,3.08,4.50,78.0,1.50,0.48,2100
VTR,"Ventas Inc.","Saúde & Casas de Repouso",86.86,44554522624,21.80,3.04,6.94,2.39,1.15,4.59,6.20,76.0,1.35,0.78,1400
DOC,"Healthpeak Properties","Saúde & Consultórios Médicos",20.60,14604313600,11.50,1.81,4.95,5.89,0.85,8.70,5.80,77.0,1.40,0.65,750
OHI,"Omega Healthcare Investors","Saúde & Clínicas Reabilitação",41.50,11200000000,13.20,1.85,9.20,6.45,0.98,7.58,7.50,86.0,1.25,0.82,900
AVB,"AvalonBay Communities","Residencial Multifamiliar",184.06,26283393024,16.50,2.17,8.52,3.85,0.98,6.06,4.00,68.0,1.45,0.58,295
EQR,"Equity Residential","Residencial Multifamiliar",63.66,24611481600,15.80,2.27,7.87,4.25,0.96,6.33,4.20,72.0,1.40,0.59,305
INVH,"Invitation Homes","Residencial / Casas Aluguel",27.14,16029513728,15.10,1.77,5.63,4.43,0.92,6.62,2.80,71.0,1.35,0.72,85000
CPT,"Camden Property Trust","Residencial Multifamiliar",99.31,11493401600,14.60,2.68,7.27,4.29,0.94,6.85,4.50,69.0,1.45,0.55,172
MAA,"Mid-America Apartment","Residencial Multifamiliar",119.15,14174535680,13.50,2.54,6.39,5.15,0.92,7.41,4.80,73.0,1.40,0.52,298
ESS,"Essex Property Trust","Residencial Costa Oeste",274.76,18940000256,17.80,3.32,9.56,3.82,1.05,5.62,3.50,68.0,1.35,0.64,252
UDR,"UDR Inc.","Residencial Multifamiliar",34.10,12527119360,13.90,3.78,7.09,5.10,0.90,7.19,4.10,74.0,1.30,0.72,185
PSA,"Public Storage","Self-Storage / Guarda-Volumes",289.71,54132973568,16.80,10.51,11.02,4.04,1.25,5.95,7.50,75.0,1.55,0.45,3300
