code,name,sector,price,market_cap,pe_ratio,pb_ratio,psr,dividend_yield,ev_ebitda,ev_ebit,profit_margin,ebit_margin,current_ratio,debt_to_equity,roe,roic,revenue_growth_5y
MMM,"3M","Industrial Conglomerates",169.30,87311810560,30.07,29.58,3.47,1.89,13.46,15.88,11.53,14.99,1.35,0.85,15.00,11.25,7.5
AOS,"A. O. Smith","Building Products",58.16,7904442880,16.20,4.29,2.08,2.53,10.09,11.91,12.82,16.67,1.35,0.85,26.49,19.87,7.5
ABT,"Abbott Laboratories","Health Care Equipment",103.69,179423461376,33.56,3.51,3.85,2.45,15.36,18.12,11.48,14.92,1.35,0.85,10.46,7.85,7.5
ABBV,"AbbVie","Biotechnology",265.21,468657176576,74.92,-78.96,7.28,2.62,15.23,17.97,9.72,12.64,1.35,0.85,15.00,11.25,7.5
ACN,"Accenture","IT Consulting & Other Services",183.72,112426000384,14.66,3.52,1.54,3.50,8.69,10.25,10.49,13.64,1.35,0.85,24.04,18.03,7.5
ADBE,"Adobe Inc.","Application Software",238.25,94704377856,13.30,8.00,3.65,0.00,9.71,11.46,27.43,35.66,1.35,0.85,60.17,45.13,7.5
AMD,"Advanced Micro Devices","Semiconductors",623.77,1018288996352,158.32,15.14,24.65,0.00,12.00,14.16,15.57,20.24,1.35,0.85,9.57,7.18,7.5
AES,"AES Corporation","Independent Power Producers & Energy Traders",14.82,10573160448,5.55,2.14,0.81,4.75,2.60,3.07,14.59,18.97,1.35,0.85,38.53,28.90,7.5
AFL,"Aflac","Life & Health Insurance",114.60,57453940736,12.36,1.90,3.18,2.12,9.47,11.17,25.72,33.44,1.35,0.85,15.36,11.52,7.5
A,"Agilent Technologies","Life Sciences Tools & Services",167.26,47161602048,32.99,6.41,6.40,0.63,22.67,26.75,19.39,25.21,1.35,0.85,19.42,14.57,7.5
APD,"Air Products","Industrial Gases",287.86,64102256640,20.00,4.62,5.09,2.59,13.78,16.26,25.43,33.06,1.35,0.85,23.09,17.32,7.5
ABNB,"Airbnb","Hotels  Resorts & Cruise Lines",161.81,96889503744,36.86,12.24,7.36,0.00,35.09,41.41,19.98,25.97,1.35,0.85,33.21,24.91,7.5
AKAM,"Akamai Technologies","Internet Services & Infrastructure",118.34,17007422464,42.88,3.58,3.93,0.00,15.75,18.58,9.18,11.93,1.35,0.85,8.35,6.26,7.5
ALB,"Albemarle Corporation","Specialty Chemicals",116.80,13782990848,432.59,1.71,2.33,1.45,9.30,10.97,0.54,0.70,1.35,0.85,0.40,0.30,7.5
ARE,"Alexandria Real Estate Equities","Office REITs",53.85,9267331072,20.00,0.59,3.26,5.40,5.20,6.14,16.31,21.20,1.35,0.85,2.96,2.22,7.5
ALGN,"Align Technology","Health Care Supplies",153.29,10889699328,26.61,2.58,2.63,0.00,11.76,13.88,9.88,12.84,1.35,0.85,9.70,7.27,7.5
ALLE,"Allegion","Building Products",153.95,13091412992,20.23,6.18,3.05,1.45,12.48,14.73,15.09,19.62,1.35,0.85,30.55,22.91,7.5
LNT,"Alliant Energy","Electric Utilities",64.62,16754977792,20.45,2.23,3.78,3.29,9.16,10.81,18.50,24.05,1.35,0.85,10.88,8.16,7.5
ALL,"Allstate","Property & Casualty Insurance",229.50,58030899200,4.60,1.84,0.83,1.78,3.39,4.00,18.00,23.40,1.35,0.85,40.01,30.01,7.5
GOOGL,"Alphabet Inc. (Class A)","Interactive Media & Services",351.16,4294663995392,17.64,6.90,9.63,0.25,24.80,29.26,54.61,70.99,1.35,0.85,39.12,29.34,7.5
GOOG,"Alphabet Inc. (Class C)","Interactive Media & Services",347.41,4248801902592,17.43,6.83,9.53,0.25,24.54,28.96,54.67,71.07,1.35,0.85,39.16,29.37,7.5
MO,"Altria","Tobacco",68.64,114611216384,14.45,-42.95,5.61,6.48,7.27,8.58,38.80,50.44,1.35,0.85,15.00,11.25,7.5
AMZN,"Amazon","Broadline Retail",254.98,2750293999616,20.51,4.98,3.55,0.00,16.28,19.21,17.28,22.46,1.35,0.85,24.30,18.23,7.5
AMCR,"Amcor","Paper & Plastic Packaging Products & Materials",43.24,19991828480,18.17,1.69,0.85,6.17,5.65,6.67,4.68,6.08,1.35,0.85,9.33,7.00,7.5
AMTM,"Amentum","Diversified Support Services",19.70,4816776704,23.73,1.03,0.34,0.00,4.79,5.65,1.44,1.87,1.35,0.85,4.32,3.24,7.5
AEE,"Ameren","Multi-Utilities",101.66,28143886336,17.90,2.06,3.35,2.95,7.20,8.50,18.70,24.31,1.35,0.85,11.49,8.62,7.5
AEP,"American Electric Power","Electric Utilities",120.27,65474670592,20.84,2.04,2.87,3.17,7.25,8.55,13.78,17.91,1.35,0.85,9.79,7.34,7.5
AXP,"American Express","Consumer Finance",305.07,206016774144,18.50,6.01,2.91,1.21,12.50,14.75,15.70,20.41,1.35,0.85,32.47,24.35,7.5
AIG,"American International Group","Multi-line Insurance",75.18,39311110144,13.72,0.97,1.47,2.68,4.83,5.70,10.72,13.94,1.35,0.85,7.08,5.31,7.5
AMT,"American Tower","Telecom Tower REITs",175.25,81659502592,24.14,21.95,7.46,4.10,11.59,13.68,30.92,40.20,1.35,0.85,15.00,11.25,7.5
AWK,"American Water Works","Water Utilities",133.82,26593914880,23.19,2.28,5.03,2.67,9.13,10.77,21.70,28.21,1.35,0.85,9.83,7.37,7.5
AMP,"Ameriprise Financial","Asset Management & Custody Banks",512.37,45259288576,12.37,7.12,2.28,1.27,12.50,14.75,18.44,23.97,1.35,0.85,57.53,43.15,7.5
AME,"Ametek","Electrical Components & Equipment",245.41,56263004160,35.83,5.00,7.15,0.56,22.50,26.55,19.97,25.96,1.35,0.85,13.95,10.46,7.5
AMGN,"Amgen","Biotechnology",410.24,221788864512,25.45,18.98,5.82,2.56,12.84,15.15,22.88,29.74,1.35,0.85,74.56,55.92,7.5
APH,"Amphenol","Electronic Components",82.84,204280692736,41.42,13.18,7.04,0.62,21.59,25.48,17.00,22.10,1.35,0.85,31.83,23.87,7.5
ADI,"Analog Devices","Semiconductors",390.37,189159817216,46.31,5.64,13.63,1.15,27.32,32.24,29.43,38.26,1.35,0.85,12.18,9.13,7.5
ANSS,"Ansys","Application Software",50.00,7500000000,20.00,3.00,2.50,0.00,12.50,14.75,12.50,16.25,1.35,0.85,15.00,11.25,7.5
AON,"Aon","Insurance Brokers",286.10,60689088512,15.76,6.32,3.45,1.13,10.29,12.14,21.90,28.47,1.35,0.85,40.09,30.07,7.5
APA,"APA Corporation","Oil & Gas Exploration & Production",42.30,14819868672,8.92,2.11,1.73,2.28,2.59,3.06,19.37,25.18,1.35,0.85,23.67,17.75,7.5
AAPL,"Apple Inc.","Technology Hardware  Storage & Peripherals",339.75,4958372495360,39.01,46.16,10.62,0.32,29.52,34.83,27.23,35.40,1.35,0.85,15.00,11.25,7.5
AMAT,"Applied Materials","Semiconductor Materials & Equipment",472.46,374943055872,40.69,14.63,12.16,0.46,36.92,43.57,29.88,38.84,1.35,0.85,35.95,26.96,7.5
APTV,"Aptiv","Automotive Parts & Equipment",44.61,9262523392,20.19,1.06,0.45,0.00,2.86,3.37,2.24,2.91,1.35,0.85,5.26,3.94,7.5
ACGL,"Arch Capital Group","Property & Casualty Insurance",94.95,32399704064,7.43,1.39,1.68,0.00,5.82,6.87,22.68,29.48,1.35,0.85,18.71,14.03,7.5
ADM,"Archer Daniels Midland","Agricultural Products & Services",82.34,39684550656,22.50,1.68,0.48,2.49,13.25,15.63,2.15,2.79,1.35,0.85,7.48,5.61,7.5
ANET,"Arista Networks","Communications Equipment",205.19,258790703104,64.93,17.49,24.55,0.00,55.78,65.82,37.81,49.15,1.35,0.85,26.93,20.20,7.5
AJG,"Arthur J. Gallagher & Co.","Insurance Brokers",230.45,59073781760,38.22,2.49,3.91,1.18,13.78,16.26,10.23,13.30,1.35,0.85,6.52,4.89,7.5
AIZ,"Assurant","Multi-line Insurance",271.08,13370686464,12.98,2.20,0.99,1.27,7.70,9.09,7.66,9.96,1.35,0.85,16.92,12.69,7.5
T,"AT&T","Integrated Telecommunication Services",25.10,171994890240,8.28,1.56,1.35,4.36,3.83,4.52,16.32,21.22,1.35,0.85,18.87,14.15,7.5
ATO,"Atmos Energy","Gas Utilities",157.34,26588659712,18.75,1.74,5.40,2.53,10.13,11.95,28.81,37.45,1.35,0.85,9.29,6.97,7.5
ADSK,"Autodesk","Application Software",219.62,45900578816,28.41,13.57,5.89,0.00,20.08,23.69,20.74,26.96,1.35,0.85,47.75,35.81,7.5
ADP,"Automatic Data Processing","Human Resource & Employment Services",269.64,107117936640,24.67,17.79,4.88,2.52,16.71,19.72,19.78,25.71,1.35,0.85,72.09,54.07,7.5
AZO,"AutoZone","Automotive Retail",2894.73,46816468992,19.90,-17.02,2.34,0.00,10.98,12.96,11.77,15.30,1.35,0.85,15.00,11.25,7.5
AVB,"AvalonBay Communities","Multi-Family Residential REITs",184.06,26283393024,25.25,2.17,8.52,0.04,14.15,16.70,33.76,43.89,1.35,0.85,8.59,6.44,7.5
AVY,"Avery Dennison","Paper & Plastic Packaging Products & Materials",172.09,13042381824,18.83,5.62,1.41,2.36,8.72,10.29,7.49,9.74,1.35,0.85,29.87,22.40,7.5
AXON,"Axon Enterprise","Aerospace & Defense",459.32,37313970176,191.38,10.15,11.59,0.00,12.00,14.16,6.06,7.88,1.35,0.85,5.31,3.98,7.5
BKR,"Baker Hughes","Oil & Gas Equipment & Services",57.26,56840515584,18.41,2.85,2.05,1.59,11.75,13.86,11.14,14.48,1.35,0.85,15.50,11.63,7.5
BALL,"Ball Corporation","Metal  Glass & Plastic Containers",59.97,15874260992,17.18,2.76,1.11,1.34,7.65,9.03,6.45,8.38,1.35,0.85,16.07,12.05,7.5
BAC,"Bank of America","Diversified Banks",56.20,392992489472,12.98,1.43,3.45,2.21,12.50,14.75,26.58,34.55,1.35,0.85,11.01,8.26,7.5
BAX,"Baxter International","Health Care Equipment",23.68,12242465792,20.00,1.97,1.07,0.17,6.50,7.67,5.34,6.94,1.35,0.85,9.86,7.39,7.5
